bedroom,bathroom,area,price
2,3,1650,699000
4,2,1900,999000
4,2,1656,699000
1,1,608,625000
3,2,1674,849000
2,1,979,659000
2,1,1161,699000
2,2,1012,699000
3,2,1822,899000
2,2,1300,799000
6,5,3233,3250000
2,1,821,995000
3,3,1454,1595000
2,1,1320,998000
2,2,977,899900
4,4,2658,4799000
2,2,924,899000
2,1,970,1650000
2,3,1478,875000
2,2,1338,995000
0,0,1338,995000
0,0,5391,5995000
4,3,3235,2595000
2,3,1309,1099000
3,3,1919,1590000
2,1,1064,999000
3,3,2866,2895000
2,2,945,775000
1,1,480,650000
3,2,1456,1390000
4,3,3726,6000000
3,2,1536,1349000
3,2,2340,1250000
2,3,1326,1149500
5,3,2904,999000
2,1,1100,599000
2,2,910,384500
2,1,884,598000
4,3,2704,1095000
1,1,720,592000
3,2,1557,1100000
2,2,893,550000
1,1,576,566000
0,0,1467,1399900
3,3,1467,1399900
1,1,667,598000
1,1,903,1599000
2,2,704,799000
3,2,1050,599500
2,1,871,650000
2,2,1515,725000
3,2,1242,999000
2,2,1015,2190000
3,2,1512,479000
2,2,1670,419000
1,1,700,1088000
1,1,618,270000
2,2,1400,499888
1,1,944,1150000
4,6,4700,6289000
3,2,2700,1499000
2,3,3915,3395000
0,0,3150,2199000
4,3,1517,1750000
2,1,650,1180000
3,2,1606,1795000
2,2,913,705000
1,1,550,2050
3,3,1350,1100000
3,2,770,1175000
3,1,827,895000
4,4,2376,1298000
2,2,1338,285000
0,0,5923,3600000
0,0,3264,4000000
2,2,1400,950000
3,2,1500,899000
3,2,1300,899000
3,2,2504,1079000
1,1,613,489000
1,1,658,399000
3,2,1832,495000
3,2,1344,325000
4,2,1776,1225000
5,5,3849,6392000
2,1,782,1050000
6,3,3800,1460000
4,2,1767,1549000
4,3,2105,1795000
1,1,800,1750
0,1,288,127500
0,0,902,590000
0,0,610,399000
3,2,1352,3950
3,3,2000,2295000
5,4,2886,1299000
3,2,1476,920000
3,5,2725,6250000
4,2,2500,1100000
2,1,664,475000
0,0,9877,3500000
1,1,650,1648800
2,2,1296,120000
4,3,2040,1549000
2,2,1040,329000
2,1,748,3100
0,0,2171,950000
1,1,720,199000
0,0,13360,1250000
3,3,2574,2649000
0,0,5670,2295000
0,0,5670,2295000
0,0,4176,1995000
0,1,434,375000
2,1,519,530000
3,1,983,385000
2,2,1666,995000
2,1,860,615000
0,0,3817,165000
2,1,1925,650000
4,3,2774,1350000
4,5,3093,2290000
3,2,2280,3975000
0,0,2075,995000
2,1,800,995000
0,0,2807,735000
